run,input,output,total_s,fps,1_grayscale_s,2_median_s,3_adapt_thresh_s,4_bilateral_s,5_combine_s,cpu_time_delta_s,rss_delta_bytes,rss_end_bytes
0,delft.png,sw_cartoon_run00.png,2.473332664000054,0.4043127778787052,0.010871190999978353,0.40291786700004195,0.04611110400014695,1.9727668310001718,0.03825014500012003,4.089999999999996,2805760,92073984
1,delft.png,sw_cartoon_run01.png,2.31691472600005,0.4316084613637949,0.010891491999927894,0.40882978099989487,0.045973614999866186,1.8095227229998727,0.038337384999977075,4.069999999999997,57344,92344320
2,delft.png,sw_cartoon_run02.png,2.279870788000153,0.43862134874633646,0.010913307999999233,0.4000718639999832,0.04606414400018366,1.7812453609999466,0.038231688999985636,4.050000000000001,36864,92381184
3,delft.png,sw_cartoon_run03.png,2.2844140300001072,0.43774901872755223,0.010914043000184392,0.4002372090001245,0.04607503900001575,1.7856204039999284,0.038087184000005436,4.060000000000002,40960,92422144
4,delft.png,sw_cartoon_run04.png,2.515900845000033,0.39747194409006487,0.011015356999905634,0.4004876490000697,0.046130156999879546,2.0166730930000085,0.038195911000002525,4.18,36864,92459008
5,delft.png,sw_cartoon_run05.png,2.300767055000051,0.4346376560924712,0.010972166000101424,0.41092909099984354,0.046245514000020194,1.7910131599999204,0.038170350999962466,4.070000000000007,36864,92495872
6,delft.png,sw_cartoon_run06.png,2.2888929069999904,0.4368924369251865,0.01094859600016207,0.40138632899993354,0.046143453000013324,1.7886365730000762,0.03828812899996592,4.070000000000007,-233472,92262400
7,delft.png,sw_cartoon_run07.png,2.2806023539999387,0.4384806488716037,0.010887500999842814,0.4002892979999615,0.04612900600000103,1.7816166220000014,0.0381620489999932,4.060000000000009,36864,92299264
8,delft.png,sw_cartoon_run08.png,2.28845246700007,0.43697652209088655,0.010926615000016682,0.40189088300007825,0.046130900999969526,1.7876900899998418,0.03838275299995075,4.069999999999993,36864,92336128
9,delft.png,sw_cartoon_run09.png,2.3663009599999896,0.4226005131654954,0.01911287400002948,0.42029831299987563,0.04696678700020129,1.8381307170000127,0.038305587999957424,4.080000000000005,106496,92442624
0,delft.png,sw_cartoon_run00.png,2.444511526000497,0.4090796829402214,0.01098162499965838,0.40692646100069396,0.05414659699999902,1.9305229259998669,0.03844610499982082,4.069999999999993,36864,93396992
1,delft.png,sw_cartoon_run01.png,2.282944544000202,0.4380307890649803,0.010854062000362319,0.4035663869999553,0.045647689000361424,1.7809786429997985,0.03840301600030216,4.059999999999988,36864,93433856
2,delft.png,sw_cartoon_run02.png,2.2873990090001826,0.43717777093778576,0.010957645999951637,0.40360203299951536,0.045583203000205685,1.785378514000513,0.03841973299950041,4.069999999999993,36864,93470720
3,delft.png,sw_cartoon_run03.png,2.2802642420001575,0.43854566570883013,0.011011270999915723,0.40119819000028656,0.045615664000251854,1.7806503700003304,0.03832554499967955,4.060000000000002,36864,93507584
4,delft.png,sw_cartoon_run04.png,2.281578606000039,0.438293029821644,0.010891264999372652,0.4005805500000861,0.04566999999951804,1.7826940960003412,0.03827532900049846,4.050000000000011,36864,93544448
5,delft.png,sw_cartoon_run05.png,2.5103081470006146,0.3983574690600545,0.01085775100000319,0.43999130400061404,0.07084874999964086,1.946780110999498,0.03823457500038785,4.109999999999999,36864,93581312
6,delft.png,sw_cartoon_run06.png,2.281585212000209,0.43829176080753296,0.010899588000029325,0.4003126340003291,0.045875843000430905,1.7827154799997516,0.03834363399982976,4.050000000000011,-233472,93347840
7,delft.png,sw_cartoon_run07.png,2.2865090830000554,0.4373479237125671,0.010999212000569969,0.40085029500005476,0.04566164900006697,1.7870906440002727,0.038394002999666554,4.070000000000007,36864,93384704
8,delft.png,sw_cartoon_run08.png,2.2859168360000695,0.43746123404463594,0.01094011999975919,0.4026684389991715,0.04567349599983572,1.784778911000103,0.03841364700019767,4.059999999999988,36864,93421568
9,delft.png,sw_cartoon_run09.png,2.3892903449996084,0.4185343158870731,0.010932692000096722,0.4003959229994507,0.0456403379994299,1.8893330439996134,0.03842999700009386,4.1499999999999915,36864,93458432
